x_V,y_V,RA_V,Dec_V,V_mag,B_mag,B_minus_V,dist_pix,FWHM_V,FWHM_B,r_V,r_B,x_ast,y_ast,panel,pair,V_gaia_approx,B_minus_V_gaia_approx
"3159,46","177,914","294,007","46,2016","-3,34452","-3,32266","0,0218600000000002","1,2445485125135611","10,9574","10,9609","0,834445","0,846304","3159,46","2486,0860000000002",P01,P01_V + P01_B,"8,215871496093751","1,675656271362305"
"38,9519","532,955","294,14","46,6834","-3,12375","-3,37229","-0,2485400000000002","0,888325188205315","10,5859","10,7843","0,954045","0,974767","38,9519","2131,045",P01,P01_V + P01_B,"8,43664149609375","1,4052562713623047"
"616,824","1477,92","294,344","46,582","-1,85311","-1,85483","-0,0017199999999999","0,7729062038826167","10,8392","11,1624","0,863833","0,878806","616,824","1186,08",P01,P01_V + P01_B,"9,70728149609375","1,652076271362305"
"1396,54","739,35","294,164","46,4696","-1,81242","-1,71784","0,0945799999999998","0,925799114279151","11,1878","11,8279","0,9342","0,891679","1396,54","1924,65",P01,P01_V + P01_B,"9,74797149609375","1,7483762713623048"
"3269,75","1337,64","294,266","46,1707","-1,77405","-2,1757","-0,40165","1,1840608092493146","9,77554","10,1668","0,91053","0,917086","3269,75","1326,36",P01,P01_V + P01_B,"9,786341496093751","1,2521462713623048"
"2358,81","1680,06","294,359","46,3084","-1,73161","-1,66919","0,0624200000000001","0,8514693182963602","11,1073","11,2304","0,92747","0,940638","2358,81","983,94",P01,P01_V + P01_B,"9,82878149609375","1,716216271362305"
"2837,28","2487,87","294,532","46,2238","-1,43402","-2,49724","-1,06322","1,0778682665332642","13,312","14,0391","0,708353","0,704048","2837,28","176,1300000000001",P01,P01_V + P01_B,"10,12637149609375","0,5905762713623048"
"1833,25","1004,2","294,216","46,3984","-1,31463","-1,37021","-0,0555799999999999","0,9193475947650248","11,3028","11,9854","0,990178","0,938329","1833,25","1659,8",P01,P01_V + P01_B,"10,24576149609375","1,598216271362305"
"2594,09","386,458","294,063","46,2872","-1,30801","-1,86365","-0,5556400000000001","1,1476502080337765","9,819","10,3813","0,980451","0,95797","2594,09","2277,542",P01,P01_V + P01_B,"10,25238149609375","1,0981562713623048"
"1736,9","1787,23","294,394","46,4039","-0,985224","-1,43457","-0,4493459999999999","0,944033897696436","11,6365","11,6294","0,94944","0,999974","1736,9","876,77",P01,P01_V + P01_B,"10,57516749609375","1,204450271362305"
"2699,25","2237,45","294,478","46,2485","-0,897463","-1,08343","-0,1859669999999998","0,8285529554588484","10,0401","10,5186","0,8772","0,883346","2699,25","426,5500000000002",P01,P01_V + P01_B,"10,66292849609375","1,4678292713623051"
"655,975","2151,07","294,496","46,5676","-0,865118","-1,88459","-1,019472","0,9722782523537182","10,3295","10,7375","0,925988","0,919137","655,975","512,9299999999998",P01,P01_V + P01_B,"10,69527349609375","0,634324271362305"
"897,848","252,574","294,062","46,5529","-0,813818","-0,707364","0,106454","0,9327513066193656","10,4181","10,8688","0,873128","0,869317","897,848","2411,426",P01,P01_V + P01_B,"10,74657349609375","1,760250271362305"
"1277,0","1171,79","294,263","46,483","-0,77443","-1,81248","-1,03805","1,0141498903022572","11,6607","12,3641","0,920145","0,887117","1277,0","1492,21",P01,P01_V + P01_B,"10,78596149609375","0,615746271362305"
"2678,05","1628,38","294,342","46,2593","-0,62835","-1,13019","-0,5018400000000001","1,0448444860360893","10,5321","11,051","0,905645","0,901072","2678,05","1035,62",P01,P01_V + P01_B,"10,93204149609375","1,1519562713623048"
"679,757","1853,68","294,428","46,5676","-0,616222","-0,809966","-0,1937439999999999","0,7695869021755047","10,7013","10,5941","0,889098","0,9617","679,757","810,3199999999999",P01,P01_V + P01_B,"10,94416949609375","1,460052271362305"
"2905,04","2554,48","294,546","46,2125","-0,602955","-1,1706","-0,5676450000000001","0,9625487000666992","9,69607","10,6058","0,933114","0,913045","2905,04","109,51999999999998",P01,P01_V + P01_B,"10,95743649609375","1,0861512713623047"
